sense_uid,lemma,pos,quiz_prompt_zh,gloss_zh,ipa_us,ipa_uk,example_en,example_zh
en:baby:noun:1,baby,noun,婴儿，婴孩；孩子气的人,n 婴儿，婴孩；孩子气的人；v 纵容，娇纵；把……当婴儿般对待；adj 婴儿的；幼小的,/bebɪ/,/'beɪbɪ/,The baby is crying.,宝宝在哭。
en:back:noun:1,back,noun,后面；背部；靠背；足球等的后卫；书报等的末尾,n 后面；背部；靠背；足球等的后卫；书报等的末尾；v 支持；后退；背书；下赌注；adv 以前；向后地；来回地；上溯；回来；回原处；adj 后面的；过去的；拖欠的,/bæk/,/bæk/,a T-shirt with a picture of a snake on the back,后背印了一条蛇的T恤衫
en:background:noun:1,background,noun,背景；隐蔽的位置,n 背景；隐蔽的位置；v 作…的背景；adj 背景的；发布背景材料的,/'bækɡraʊnd/,/'bækgraʊnd/,Students with a background in chemistry will probably find the course easier.,学过化学的学生可能会觉得这门课程容易些。
en:bag:noun:1,bag,noun,袋；猎获物；（俚）一瓶啤酒,n 袋；猎获物；（俚）一瓶啤酒；v 猎获；把…装入袋中；占据，私吞；使膨大,/bæɡ/,/bæg/,...a bag of sweets.,…一袋糖果。
en:ball:noun:1,ball,noun,球；舞会,n 球；舞会；v 成团块,/bɔl/,/bɔːl/,...a golf ball.,…一个高尔夫球。
en:balloon:verb:1,balloon,verb,激增；膨胀如气球,v 激增；膨胀如气球；n 气球；adj 像气球般鼓起的,/bə'lun/,/bə'luːn/,The company’s debt has ballooned in the past year.,在过去一年里，公司的债务激增。
en:bamboo:noun:1,bamboo,noun,竹，竹子,n 竹，竹子；vt 为…装上篾条；adj 竹制的；土著居民的,"/,bæm'bu/",/bæm'buː/,Everything there is made of bamboo.,那里什么都是竹子做的。
en:banana:noun:1,banana,noun,香蕉；喜剧演员；大鹰钩鼻,n 香蕉；喜剧演员；大鹰钩鼻,/bə'nænə/,/bə'nɑːnə/,...a bunch of bananas.,…一串香蕉。
en:bank:noun:1,bank,noun,银行；岸；浅滩；储库,n 银行；岸；浅滩；储库；v 将…存入银行；倾斜转弯,/bæŋk/,/bæŋk/,the river bank,河岸
en:basic:adjective:1,basic,adjective,基本的；基础的,adj 基本的；基础的；n 基础；要素,/'besɪk/,/'beɪsɪk/,the basic principles of chemistry,化学的基本原理
en:basket:noun:1,basket,noun,篮子；（篮球比赛的）得分；一篮之量；篮筐,n 篮子；（篮球比赛的）得分；一篮之量；篮筐；vt 装入篮,/'bæskɪt/,/'bɑːskɪt/,a shopping basket,购物篮
en:basketball:noun:1,basketball,noun,篮球；篮球运动,n 篮球；篮球运动,/'bæskɪtbɔl/,/'bɑːskɪtbɔːl/,play basketball,打篮球
en:bathroom:noun:1,bathroom,noun,浴室；厕所；盥洗室,n 浴室；厕所；盥洗室,/'bæθrum/,/'bɑːθruːm; -rʊm/,Where’s the bathroom?,洗手间在哪里？
